codigo;tipo
TCD-VH-01-01;Consumo
TCD-GRD-07-01;Consumo
TCD-TD7-01-01;Consumo
TCD-GRD-01-01;Consumo
TCD-GK-02-01;Consumo
TCD-RF-05-01;Consumo
TCD-CES-02-01;Consumo
TCD-TD7-02-01;Consumo
TCD-RF-24-01;Consumo
TCD-RF-03-01;Consumo
TCD-GRD-09-01;Consumo
TCD-GRD-11-01;Consumo
TCD-CMP-16-01;Consumo
TCD-PK-12-01;Consumo
TCD-CMP-25-01;Consumo
TCD-RF-16-01;Consumo
TCD-TD8-01-01;Consumo
TCD-CMP-24-01;Consumo
TCD-CI-02-01;Consumo
TCD-VH-45-01;Consumo
TCD-VH-43-01;Consumo
TCD-MK-01-01;Consumo
TCD-HI-03-01;Consumo
TCD-CMP-31-01;Consumo
TCD-GRD-08-01;Consumo
TCD-PK-11-01;Consumo
TCD-RF-12-01;Consumo
TCD-CH-01-01;Consumo
TCD-CMP-29-01;Consumo
TCD-PK-10-01;Consumo
TCD-VH-25-01;Consumo
TCD-RF-09-01;Consumo
TCD-EK-08-01;Consumo
TCD-GRD-06-01;Consumo
TCD-RF-15-01;Consumo
TCD-VH-14-01;Consumo
TCD-CA-04-01;Consumo
TCD-MOT-04-01;Consumo
TCD-CAD-01-01;Consumo
TCD-BLT-12-01;Consumo
TCD-VH-35-01;Consumo
TCD-CH-05-01;Consumo
TCD-GRD-10-01;Consumo
TCD-PK-04-01;Consumo
TCD-VH-31-01;Consumo
TCD-PK-02-01;Consumo
TCG-CAMI-04-01;Consumo
TCD-VH-48-01;Consumo
TCD-EK-03-01;Consumo
TCG-MOT-06-01;Consumo
TCD-RFT-01-01;Consumo
TCD-VH-34-01;Consumo
TCG-CMP-22-01;Consumo
TCD-VH-02-01;Consumo
TCD-VH-40-01;Consumo
TCD-RF-07-01;Consumo
TCG-CMP-23-01;Consumo
TCD-RPD-01-01;Consumo
TCD-TD7-04-01;Consumo
TCD-CMW-04-01;Consumo
TCG-MOT-10-01;Consumo
TCD-VH-33-01;Consumo
TCD-VH-42-01;Consumo
TCG-MOT-08-01;Consumo
TCG-CAMI-05-01;Consumo
TCD-CH-04-01;Consumo
TCD-RFP-02-01;Consumo
TCD-VH-06-01;Consumo
TCD-CA-02-01;Consumo
TCD-EK-05-01;Consumo
TCD-VH-56-01;Consumo
TCD-TD7-05-01;Consumo
TCD-TH-03-01;Consumo
TCD-TD5-02-01;Consumo
TCD-EI-01-01;Consumo
TCD-CP-02-01;Consumo
TCD-PK-01-01;Consumo
TCD-CMW-06-01;Consumo
TCD-RF-01-01;Consumo
TCD-TD5-03-01;Consumo
TCD-CGP-01-01;Consumo
TCD-PK-07-01;Consumo
TCD-TD6-05-01;Consumo
TCD-CMP-26-01;Consumo
TCD-GTH-01-01;Consumo
TCD-TD6-02-01;Consumo
TCD-TD7-03-01;Consumo
TCD-GK-01-01;Consumo
TCD-BLT-11-01;Consumo
TCD-VH-47-01;Consumo
TCD-RF-17-01;Consumo
TCD-HI-01-01;Consumo
TCD-VH-36-01;Consumo
TCG-CAMI-02-01;Consumo
TCD-VH-13-01;Consumo
TCD-VH-46-01;Consumo
TCD-CIS-01-01;Consumo
TCD-CMP-15-01;Consumo
TCD-CMP-28-01;Consumo
TCD-MCF-01-01;Consumo
TCD-TD6-03-01;Consumo
TCD-CI-04-01;Consumo
TCD-CMW-07-01;Consumo
TCD-RF-10-01;Consumo
TCD-BAT-11-01;Consumo
TCD-CGB-01-01;Consumo
TCD-VH-21-01;Consumo
TCD-VH-32-01;Consumo
TCD-HI-02-01;Consumo
TCG-MOT-03-01;Consumo
TCD-VH-08-01;Consumo
TCD-PK-03-01;Consumo
TCD-RF-19-01;Consumo
TCD-RFT-03-01;Consumo
TCD-CR-04-01;Consumo
TCD-TD5-01-01;Consumo
TCD-VH-11-01;Consumo
TCD-CA-05-01;Consumo
TCG-MOT-07-01;Consumo
TCG-MOT-09-01;Consumo
TCG-CAMI-06-01;Consumo
TCD-BLT-14-01;Consumo
TCD-CH-03-01;Consumo
TCD-EK-06-01;Consumo
TCD-RF-21-01;Consumo
TCD-VH-23-01;Consumo
TCD-CH-02-01;Consumo
TCD-RF-20-01;Consumo
TCD-VH-24-01;Consumo
TCD-BAT-10-01;Consumo
TCD-RF-23-01;Consumo
TCD-RF-08-01;Consumo
TCD-TH-01-01;Consumo
TCD-CMP-14-01;Consumo
TCD-EK-07-01;Consumo
TCD-RF-06-01;Consumo
TCD-MK-02-01;Consumo
TCD-VH-10-01;Consumo
TCD-GRD-05-01;Consumo
TCD-VH-53-01;Consumo
TCD-VH-16-01;Consumo
TCD-VH-15-01;Consumo
TCD-RF-11-01;Consumo
TCD-VH-07-01;Consumo
TCD-HI-05-01;Consumo
TCD-VH-09-01;Consumo
TCD-VH-30-01;Consumo
TCD-VH-38-01;Consumo
TCD-VH-50-01;Consumo
TCD-EK-01-01;Consumo
TCD-VH-19-01;Consumo
TCD-MK-03-01;Consumo
TCD-RF-22-01;Consumo
TCD-RFP-03-01;Consumo
TCD-VH-12-01;Consumo
TCD-CA-03-01;Consumo
TCD-RF-02-01;Consumo
TCD-BAT-13-01;Consumo
TCD-CI-01-01;Consumo
TCD-EK-04-01;Consumo
TCD-VH-05-01;Consumo
TCD-RF-13-01;Consumo
TCD-VH-44-01;Consumo
TCD-CMP-27-01;Consumo
TCD-CMP-30-01;Consumo
TCD-CI-03-01;Consumo
TCD-TD6-01-01;Consumo
TCD-BLT-13-01;Consumo
TCD-RFT-04-01;Consumo
TCD-CA-01-01;Consumo
TCG-MOT-02-01;Consumo
TCD-CMW-03-01;Consumo
TCD-RF-18-01;Consumo
TCD-CES-01-01;Consumo
TCD-VH-52-01;Consumo
TCD-TD6-04-01;Consumo
TCD-RFP-01-01;Consumo
TCD-HI-04-01;Consumo
TCD-RF-14-01;Consumo
TCD-TD7-06-01;Consumo
TCD-VH-03-01;Consumo
TCD-VH-51-01;Consumo
TCD-VH-54-01;Consumo
TCD-RFT-02-01;Consumo
TCD-CR-01-01;Consumo
TCD-BAT-06-01;Consumo
TCD-BAT-12-01;Consumo
TCG-CAMI-03-01;Consumo
TCD-VH-18-01;Consumo
TCD-VH-37-01;Consumo
TCD-TH-02-01;Consumo
TCG-CAMI-01-01;Consumo
TCD-VH-39-01;Consumo
TCD-VH-55-01;Consumo
TCD-EK-09-01;Consumo
TCD-VH-41-01;Consumo
TCD-VH-04-01;Consumo
TCD-VH-49-01;Consumo
TDG-000000-00(FONDO: EDMME/UO/REQ/Nº 056/2025);Demanda
TDG-000000-01(CAJACHICA0825_01);Demanda
TAD-030000-00(LAS CHOLAS);Almacenamiento
TAG-000300-02(GASOLINA BIDON LAS CHOLAS);Almacenamiento
TAG-000300-01(GASOLINA BIDON LLOJETA);Almacenamiento
TAG-030000-03(MOTOS Y CAMIONETAS);Almacenamiento
TAG-030000-00(GASOLINA SALIDA);Almacenamiento
